country,prompt,prompt_family,expected_capital,top_prediction,generated_text,normalized_generated_text,target_rank,target_margin,exact_match,contains_expected
Benin,"Q: What is the capital of Benin?
A:",qa,Porto-Novo,Benin,"Benin
Q: What is the capital",benin,15,-3.875,0.0,0.0
Benin,What is the capital of Benin? Answer with only the capital city.,chat_template,Porto-Novo,As,"As of the current date, the capital","s of the current date, the capital",1952,-16.6875,0.0,0.0
Bhutan,What is the capital of Bhutan?,raw_question,Thimphu,"

",Bhutan is the capital of the,bhutan is the capital of the,35,-9.25,0.0,0.0
Bhutan,The capital of Bhutan is,declarative,Thimphu,Th,"Thimphu, and the capital","thimphu, and the capital",1,2.25,1.0,1.0
Bhutan,"Q: What is the capital of Bhutan?
A:",qa,Thimphu,Th,"Thawang

Q: What is",thawang,1,1.0,0.0,0.0
Bhutan,What is the capital of Bhutan? Answer with only the capital city.,chat_template,Thimphu,Th,Thimphal,thimphal,816,-14.5625,0.0,0.0
Bolivia,What is the capital of Bolivia?,raw_question,Sucre,"

","A) Buenos Aires
B)",buenos aires,495,-13.8125,0.0,0.0
Bolivia,The capital of Bolivia is,declarative,Sucre,La,"La Paz, and the capital of Argentina","la paz, and the capital of argentina",30,-4.875,0.0,0.0
Bolivia,"Q: What is the capital of Bolivia?
A:",qa,Sucre,La,"La Paz
Q: What is the",la paz,83,-6.875,0.0,0.0
Bolivia,What is the capital of Bolivia? Answer with only the capital city.,chat_template,Sucre,La,La Paz,la paz,13157,-25.21875,0.0,0.0
Bosnia and Herzegovina,What is the capital of Bosnia and Herzegovina?,raw_question,Sarajevo,"

","A) Sarajevo
B) Sarajevo",sarajevo,4,-6.25,1.0,1.0
Bosnia and Herzegovina,The capital of Bosnia and Herzegovina is,declarative,Sarajevo,Sarajevo,"Sarajevo.
The capital of Bosnia and",sarajevo.,1,4.875,1.0,1.0
Bosnia and Herzegovina,"Q: What is the capital of Bosnia and Herzegovina?
A:",qa,Sarajevo,Sarajevo,"Sarajevo
Q: What is the capital",sarajevo,1,1.875,1.0,1.0
Bosnia and Herzegovina,What is the capital of Bosnia and Herzegovina? Answer with only the capital city.,chat_template,Sarajevo,Sar,Sarajevo,sarajevo,12,-3.25,1.0,1.0
Botswana,What is the capital of Botswana?,raw_question,Gaborone,"

",The capital of Botswana is the capital,the capital,100,-11.875,0.0,0.0
Botswana,The capital of Botswana is,declarative,Gaborone,G,"Gaborara.

The capital of",gaborara.,1,2.375,0.0,0.0
Botswana,"Q: What is the capital of Botswana?
A:",qa,Gaborone,The,The capital of Botswana is the capital of,the capital of,8,-3.625,0.0,0.0
Botswana,What is the capital of Botswana? Answer with only the capital city.,chat_template,Gaborone,Bots,Botswana,botswana,12877,-23.3046875,0.0,0.0
Brazil,What is the capital of Brazil?,raw_question,Brasília,"

","A) Rio de Janeiro
B",rio de janeiro,20,-9.0,0.0,0.0
Brazil,The capital of Brazil is,declarative,Brasília,Brasília,"Brasília, and the city of São Paulo","brasília, and the city of são paulo",1,4.0,1.0,1.0
Brazil,"Q: What is the capital of Brazil?
A:",qa,Brasília,São,"São Paulo
Q: What is the",são paulo,1,0.0,0.0,0.0
Brazil,What is the capital of Brazil? Answer with only the capital city.,chat_template,Brasília,Bras,Brasília,brasília,30,-8.5,1.0,1.0
Brunei,What is the capital of Brunei?,raw_question,Bandar Seri Begawan,"

","A) Kuala Lumpur
B)",kuala lumpur,377,-13.53125,0.0,0.0
Brunei,The capital of Brunei is,declarative,Bandar Seri Begawan,Bandar,"Bandar Seri Sulah.

The capital",bandar seri sulah.,1,0.25,0.0,0.0
Brunei,"Q: What is the capital of Brunei?
A:",qa,Bandar Seri Begawan,Brunei,Brunei is the capital of Brunei.,brunei is the capital of brunei.,3,-0.625,0.0,0.0
Brunei,What is the capital of Brunei? Answer with only the capital city.,chat_template,Bandar Seri Begawan,Br,Brunei,brunei,3,-1.0,0.0,0.0
Bulgaria,What is the capital of Bulgaria?,raw_question,Sofia,"

",The capital of Bulgaria is Sofia.,sofia.,17,-8.3125,1.0,1.0
Bulgaria,The capital of Bulgaria is,declarative,Sofia,Sofia,"Sofia.
The capital of Bulgaria is",sofia.,1,4.25,1.0,1.0
Bulgaria,"Q: What is the capital of Bulgaria?
A:",qa,Sofia,Sofia,"Sofia
Q: What is the capital",sofia,1,0.125,1.0,1.0
Bulgaria,What is the capital of Bulgaria? Answer with only the capital city.,chat_template,Sofia,Sofia,Sofia,sofia,117,-10.375,1.0,1.0
Burkina Faso,What is the capital of Burkina Faso?,raw_question,Ouagadougou,"

","A) Paris
B) Rome",paris,157,-12.625,0.0,0.0
Burkina Faso,The capital of Burkina Faso is,declarative,Ouagadougou,Ou,"Ouagadougou.

**Explanation",ouagadougou.,1,0.125,1.0,1.0
Burkina Faso,"Q: What is the capital of Burkina Faso?
A:",qa,Ouagadougou,Paris,"Paris
Q: What is the capital",paris,5,-2.375,0.0,0.0
Burkina Faso,What is the capital of Burkina Faso? Answer with only the capital city.,chat_template,Ouagadougou,Ou,Ouagadougou,ouagadougou,222,-10.875,1.0,1.0
Burundi,What is the capital of Burundi?,raw_question,Gitega,"

",The capital of Burundi is Gite,gite,202,-12.0,0.0,0.0
Burundi,The capital of Burundi is,declarative,Gitega,G,"Giteba, and the capital of","giteba, and the capital of",1,3.5,0.0,0.0
Burundi,"Q: What is the capital of Burundi?
A:",qa,Gitega,Burundi,Burundi is the capital of the country.,burundi is the capital of the country.,8,-4.0,0.0,0.0
Burundi,What is the capital of Burundi? Answer with only the capital city.,chat_template,Gitega,Bur,Burundi,burundi,9609,-21.40625,0.0,0.0
Cambodia,What is the capital of Cambodia?,raw_question,Phnom Penh,"

",The capital of Cambodia is Phnom Penh,phnom penh,9,-7.6875,1.0,1.0
Cambodia,The capital of Cambodia is,declarative,Phnom Penh,Phnom,"Phnom Penh.
The capital of Cambodia",phnom penh.,1,2.75,1.0,1.0
Cambodia,"Q: What is the capital of Cambodia?
A:",qa,Phnom Penh,Phnom,"Phnom Penh
Q: What is the",phnom penh,1,1.125,1.0,1.0
Cambodia,What is the capital of Cambodia? Answer with only the capital city.,chat_template,Phnom Penh,Kamp,Kampong Phluk,kampong phluk,7,-4.0,0.0,0.0
Cameroon,What is the capital of Cameroon?,raw_question,Yaoundé,"

",The capital of Cameroon is Yaound,yaound,636,-14.0625,0.0,0.0
Cameroon,The capital of Cameroon is,declarative,Yaoundé,Ya,"Yaoundy, and the city is","yaoundy, and the city is",1,4.0,0.0,0.0
Cameroon,"Q: What is the capital of Cameroon?
A:",qa,Yaoundé,The,The capital of Cameroon is Yaoundy,yaoundy,8,-2.75,0.0,0.0
Cameroon,What is the capital of Cameroon? Answer with only the capital city.,chat_template,Yaoundé,Ya,Yaoundy,yaoundy,1043,-15.75,0.0,0.0
Canada,What is the capital of Canada?,raw_question,Ottawa,"

","A) Toronto
B) Montreal",toronto,24,-8.875,0.0,0.0
Canada,The capital of Canada is,declarative,Ottawa,Ottawa,"Ottawa, and the capital of the United","ottawa, and the capital of the united",1,4.25,1.0,1.0
Canada,"Q: What is the capital of Canada?
A:",qa,Ottawa,Ottawa,"Ottawa
Q: What is the capital",ottawa,1,0.125,1.0,1.0
Canada,What is the capital of Canada? Answer with only the capital city.,chat_template,Ottawa,Ottawa,Ottawa,ottawa,8,-6.625,1.0,1.0
Cape Verde,What is the capital of Cape Verde?,raw_question,Praia,"

",The capital of Cape Verde is Porto,porto,93,-11.5625,0.0,0.0
Cape Verde,The capital of Cape Verde is,declarative,Praia,vá,"vá, a small, mountainous region in","vá, a small, mountainous region in",2,0.0,0.0,0.0
Cape Verde,"Q: What is the capital of Cape Verde?
A:",qa,Praia,Cape,"Cape Verde
Q: What is the",cape verde,14,-3.0,0.0,0.0
Cape Verde,What is the capital of Cape Verde? Answer with only the capital city.,chat_template,Praia,Port,Porto,porto,496,-14.625,0.0,0.0
Central African Republic,What is the capital of Central African Republic?,raw_question,Bangui,"

","A) Addis Ababa
B)",addis ababa,860,-15.1875,0.0,0.0
Central African Republic,The capital of Central African Republic is,declarative,Bangui,Ya,"Yaoundy, and it is a","yaoundy, and it is a",106,-5.75,0.0,0.0
Central African Republic,"Q: What is the capital of Central African Republic?
A:",qa,Bangui,The,The capital of Central African Republic is,,92,-4.625,0.0,0.0
Central African Republic,What is the capital of Central African Republic? Answer with only the capital city.,chat_template,Bangui,Bras,Brasilia,brasilia,3652,-16.75,0.0,0.0
Chad,What is the capital of Chad?,raw_question,N'Djamena,"

",The capital of Chad is the capital,the capital,150,-11.5625,0.0,0.0
Chad,The capital of Chad is,declarative,N'Djamena,the,"the capital of **Chad**.

The",the capital of **chad**.,13,-2.5,0.0,0.0
Chad,"Q: What is the capital of Chad?
A:",qa,N'Djamena,Chad,Chad is the capital of Chad.,chad is the capital of chad.,25,-4.5,0.0,0.0
Chad,What is the capital of Chad? Answer with only the capital city.,chat_template,N'Djamena,Chad,Chad,chad,32327,-25.11279296875,0.0,0.0
Chile,What is the capital of Chile?,raw_question,Santiago,"

","A) Buenos Aires
B)",buenos aires,16,-8.25,0.0,0.0
Chile,The capital of Chile is,declarative,Santiago,Santiago,"Santiago.

The capital of Chile is",santiago.,1,4.75,1.0,1.0
Chile,"Q: What is the capital of Chile?
A:",qa,Santiago,Santiago,"Santiago
Q: What is the capital",santiago,1,0.875,1.0,1.0
Chile,What is the capital of Chile? Answer with only the capital city.,chat_template,Santiago,Santiago,Santiago,santiago,49,-7.75,1.0,1.0
China,What is the capital of China?,raw_question,Beijing,"

",The capital of China is located in,located in,17,-8.25,0.0,0.0
China,The capital of China is,declarative,Beijing,Beijing,"Beijing.
Beijing is a large city",beijing.,1,4.75,1.0,1.0
China,"Q: What is the capital of China?
A:",qa,Beijing,Beijing,"Beijing
Q: What is the capital",beijing,1,1.125,1.0,1.0
China,What is the capital of China? Answer with only the capital city.,chat_template,Beijing,Beijing,Beijing,beijing,14,-4.75,1.0,1.0
Colombia,What is the capital of Colombia?,raw_question,Bogotá,"

","A) Lima
B) Bogotá",lima,19,-9.1875,0.0,0.0
Colombia,The capital of Colombia is,declarative,Bogotá,Bogotá,"Bogotá.

The capital of Colombia is",bogotá.,1,4.0,1.0,1.0
Colombia,"Q: What is the capital of Colombia?
A:",qa,Bogotá,Bogotá,"Bogotá
Q: What is the capital",bogotá,1,2.625,1.0,1.0
Colombia,What is the capital of Colombia? Answer with only the capital city.,chat_template,Bogotá,Bog,Bogota,bogota,6,-5.125,0.0,0.0
Comoros,What is the capital of Comoros?,raw_question,Moroni,"

",The capital of Comoros is the,the,201,-12.0625,0.0,0.0
Comoros,The capital of Comoros is,declarative,Moroni,the,"the island of Komoji, which is","the island of komoji, which is",3,-1.25,0.0,0.0
Comoros,"Q: What is the capital of Comoros?
A:",qa,Moroni,The,The capital of Comoros is the capital,the capital,21,-2.625,0.0,0.0
Comoros,What is the capital of Comoros? Answer with only the capital city.,chat_template,Moroni,Mor,Morocco,morocco,3033,-18.375,0.0,0.0
Costa Rica,What is the capital of Costa Rica?,raw_question,San José,"

",The capital of Costa Rica is located,located,27,-9.0625,0.0,0.0
Costa Rica,The capital of Costa Rica is,declarative,San José,La,"La Fortuna, and it is known for","la fortuna, and it is known for",2,0.0,0.0,0.0
Costa Rica,"Q: What is the capital of Costa Rica?
A:",qa,San José,The,The capital of Costa Rica is San José,san josé,3,-0.875,1.0,1.0
Costa Rica,What is the capital of Costa Rica? Answer with only the capital city.,chat_template,San José,San,San José,san josé,3815,-22.34375,1.0,1.0
Croatia,What is the capital of Croatia?,raw_question,Zagreb,"

","A) Zagreb
B) Dubrovnik",zagreb,7,-7.0,1.0,1.0
Croatia,The capital of Croatia is,declarative,Zagreb,Zagreb,"Zagreb.
The capital of Croatia is",zagreb.,1,4.0,1.0,1.0
Croatia,"Q: What is the capital of Croatia?
A:",qa,Zagreb,Zagreb,"Zagreb
Q: What is the capital",zagreb,1,2.875,1.0,1.0
Croatia,What is the capital of Croatia? Answer with only the capital city.,chat_template,Zagreb,Zag,Zagreb,zagreb,4,-2.75,1.0,1.0
Cuba,What is the capital of Cuba?,raw_question,Havana,"

",The capital of Cuba is Havana.,havana.,69,-10.6875,1.0,1.0
Cuba,The capital of Cuba is,declarative,Havana,Havana,"Havana, and the capital of the United","havana, and the capital of the united",1,4.0,1.0,1.0
Cuba,"Q: What is the capital of Cuba?
A:",qa,Havana,Havana,"Havana
Q: What is the capital",havana,1,0.625,1.0,1.0
Cuba,What is the capital of Cuba? Answer with only the capital city.,chat_template,Havana,C,Copenberg,copenberg,4,-1.75,0.0,0.0
Cyprus,What is the capital of Cyprus?,raw_question,Nicosia,"

",The capital of Cyprus is located in,located in,158,-12.4375,0.0,0.0
Cyprus,The capital of Cyprus is,declarative,Nicosia,F,"Fethypia, and the capital","fethypia, and the capital",2,0.0,0.0,0.0
Cyprus,"Q: What is the capital of Cyprus?
A:",qa,Nicosia,The,The capital of Cyprus is Athens.,thens.,14,-4.25,0.0,0.0
Cyprus,What is the capital of Cyprus? Answer with only the capital city.,chat_template,Nicosia,Athens,Athens,thens,14623,-27.8125,0.0,0.0
Czechia,What is the capital of Czech Republic?,raw_question,Prague,"

",The capital of Czech Republic is Prague,prague,10,-7.375,1.0,1.0
Czechia,The capital of Czech Republic is,declarative,Prague,Prague,"Prague.
The capital of the Czech",prague.,1,5.875,1.0,1.0
Czechia,"Q: What is the capital of Czech Republic?
A:",qa,Prague,Prague,"Prague
Q: What is the capital",prague,1,1.5,1.0,1.0
Czechia,What is the capital of Czech Republic? Answer with only the capital city.,chat_template,Prague,Pr,Prague,prague,32,-6.375,1.0,1.0
DR Congo,What is the capital of DR Congo?,raw_question,Kinshasa,"

","A) Kinshabet
B",kinshabet,570,-14.15625,0.0,0.0
DR Congo,The capital of DR Congo is,declarative,Kinshasa,Kin,"Kinshabet, and the capital of","kinshabet, and the capital of",1,1.0,0.0,0.0
DR Congo,"Q: What is the capital of DR Congo?
A:",qa,Kinshasa,The,The capital of DR Congo is Kinsh,kinsh,18,-2.8125,0.0,0.0
DR Congo,What is the capital of DR Congo? Answer with only the capital city.,chat_template,Kinshasa,Kin,Kinshulu,kinshulu,596,-13.3125,0.0,0.0
Denmark,What is the capital of Denmark?,raw_question,Copenhagen,"

","A) Oslo
B) Copenhagen",oslo,20,-9.3125,0.0,0.0
Denmark,The capital of Denmark is,declarative,Copenhagen,Copenhagen,"Copenhagen.

The capital of Denmark is",copenhagen.,1,3.875,1.0,1.0
Denmark,"Q: What is the capital of Denmark?
A:",qa,Copenhagen,Copenhagen,"Copenhagen
Q: What is the capital",copenhagen,1,2.5,1.0,1.0
Denmark,What is the capital of Denmark? Answer with only the capital city.,chat_template,Copenhagen,Denmark,Denmark,denmark,17,-4.75,0.0,0.0
Djibouti,What is the capital of Djibouti?,raw_question,Djibouti,"

",The capital of Djibouti is Djibouti City,djibouti city,4,-4.375,1.0,1.0
Djibouti,The capital of Djibouti is,declarative,Djibouti,Djibouti,"Djibouti City.
The capital of Djibouti",djibouti city.,1,4.875,1.0,1.0
Djibouti,"Q: What is the capital of Djibouti?
A:",qa,Djibouti,Djibouti,Djibouti is a country in Africa.,djibouti is a country in africa.,1,3.125,1.0,1.0
Djibouti,What is the capital of Djibouti? Answer with only the capital city.,chat_template,Djibouti,Dj,Djibouti,djibouti,2,0.0,1.0,1.0
Dominica,What is the capital of Dominica?,raw_question,Roseau,"

",The capital of Dominica is the capital,the capital,272,-13.6875,0.0,0.0
Dominica,The capital of Dominica is,declarative,Roseau,the,"the capital of the island.

The",the capital of the island.,4,-1.5,0.0,0.0
Dominica,"Q: What is the capital of Dominica?
A:",qa,Roseau,The,The capital of Dominica is the capital of,the capital of,60,-6.875,0.0,0.0
Dominica,What is the capital of Dominica? Answer with only the capital city.,chat_template,Roseau,Domin,Dominica,dominica,5656,-20.890625,0.0,0.0
Dominican Republic,What is the capital of Dominican Republic?,raw_question,Santo Domingo,"

",The capital of Dominican Republic is Santo,santo,19,-9.75,0.0,0.0
Dominican Republic,The capital of Dominican Republic is,declarative,Santo Domingo,Santo,"Santo Domingo.
The capital of the",santo domingo.,1,2.75,1.0,1.0
Dominican Republic,"Q: What is the capital of Dominican Republic?
A:",qa,Santo Domingo,Santo,"Santo Domingo
Q: What is the",santo domingo,1,0.25,1.0,1.0
Dominican Republic,What is the capital of Dominican Republic? Answer with only the capital city.,chat_template,Santo Domingo,Santo,Santo Domingo,santo domingo,108,-9.25,1.0,1.0
Ecuador,What is the capital of Ecuador?,raw_question,Quito,"

",The capital of Ecuador is Quito.,quito.,12,-8.0,1.0,1.0
Ecuador,The capital of Ecuador is,declarative,Quito,Quito,"Quito.
The capital of Ecuador is",quito.,1,8.25,1.0,1.0
Ecuador,"Q: What is the capital of Ecuador?
A:",qa,Quito,Quito,"Quito
Q: What is the capital",quito,1,4.625,1.0,1.0
Ecuador,What is the capital of Ecuador? Answer with only the capital city.,chat_template,Quito,Quito,Quito,quito,1,2.25,1.0,1.0
Egypt,What is the capital of Egypt?,raw_question,Cairo,"

",The capital of Egypt is located in,located in,62,-11.1875,0.0,0.0
Egypt,The capital of Egypt is,declarative,Cairo,Cairo,"Cairo.
The capital of Egypt is",cairo.,1,4.75,1.0,1.0
Egypt,"Q: What is the capital of Egypt?
A:",qa,Cairo,Cairo,"Cairo
Q: What is the capital",cairo,1,0.875,1.0,1.0
Egypt,What is the capital of Egypt? Answer with only the capital city.,chat_template,Cairo,Cairo,Cairo,cairo,23,-5.75,1.0,1.0
