relation,prompt_family,metric,mean,ci_low,ci_high,count
capital,qa,answer_similarity,0.4343713783701068,0.3610835043579217,0.5169733024574408,18
capital,raw_question,full_exact_match,0.16666666666666666,0.0,0.3333333333333333,18
capital,raw_question,contains_expected,0.6666666666666666,0.4444444444444444,0.8888888888888888,18
capital,raw_question,answer_f1,0.3806878306878307,0.2460119047619047,0.5407671957671958,18
capital,raw_question,answer_similarity,0.5054379902543645,0.3787207070202077,0.6383510277128575,18
currency,chat_template,full_exact_match,0.05555555555555555,0.0,0.16666666666666666,18
currency,chat_template,contains_expected,0.5,0.2777777777777778,0.7222222222222222,18
currency,chat_template,answer_f1,0.4891534391534391,0.35207010582010584,0.6259788359788359,18
currency,chat_template,answer_similarity,0.6296237959872086,0.5291588252525906,0.7281029884760947,18
currency,declarative,full_exact_match,0.0,0.0,0.0,18
currency,declarative,contains_expected,0.6111111111111112,0.3888888888888889,0.8333333333333334,18
currency,declarative,answer_f1,0.433289241622575,0.3212488977072311,0.5225694444444444,18
currency,declarative,answer_similarity,0.5473516176761218,0.43573062834815507,0.6450106688407138,18
currency,qa,full_exact_match,0.0,0.0,0.0,18
currency,qa,contains_expected,0.5,0.2777777777777778,0.7222222222222222,18
currency,qa,answer_f1,0.4869488536155202,0.3882694003527337,0.5696649029982364,18
currency,qa,answer_similarity,0.5952564391987002,0.5125849864625098,0.6708731749963035,18
currency,raw_question,full_exact_match,0.0,0.0,0.0,18
currency,raw_question,contains_expected,0.16666666666666666,0.0,0.3888888888888889,18
currency,raw_question,answer_f1,0.23456790123456792,0.12777777777777777,0.3333333333333333,18
currency,raw_question,answer_similarity,0.4405924674733993,0.37118367799474433,0.5107056689539747,18
headquarters,chat_template,full_exact_match,0.0,0.0,0.0,18
headquarters,chat_template,contains_expected,0.5,0.2777777777777778,0.7222222222222222,18
headquarters,chat_template,answer_f1,0.2551587301587302,0.14281746031746032,0.36429563492063494,18
headquarters,chat_template,answer_similarity,0.4162218105886407,0.3440207761062321,0.4891563204711263,18
headquarters,declarative,full_exact_match,0.0,0.0,0.0,18
headquarters,declarative,contains_expected,0.5555555555555556,0.3333333333333333,0.7777777777777778,18
headquarters,declarative,answer_f1,0.4173280423280424,0.2764495149911817,0.5474151234567901,18
headquarters,declarative,answer_similarity,0.5460814415483718,0.43216395652710066,0.6567596237943684,18
headquarters,qa,full_exact_match,0.1111111111111111,0.0,0.2777777777777778,18
headquarters,qa,contains_expected,0.6111111111111112,0.3888888888888889,0.8333333333333334,18
headquarters,qa,answer_f1,0.4864197530864198,0.3326851851851852,0.6259567901234568,18
headquarters,qa,answer_similarity,0.5350445631465884,0.41920567620956234,0.6529240082364483,18
headquarters,raw_question,full_exact_match,0.05555555555555555,0.0,0.16666666666666666,18
headquarters,raw_question,contains_expected,0.3888888888888889,0.16666666666666666,0.6111111111111112,18
headquarters,raw_question,answer_f1,0.26318342151675483,0.16115520282186951,0.37208553791887117,18
headquarters,raw_question,answer_similarity,0.33063848268517504,0.25758006273978407,0.4190265136626032,18
official_language,chat_template,full_exact_match,0.0,0.0,0.0,18
official_language,chat_template,contains_expected,0.4444444444444444,0.2222222222222222,0.6666666666666666,18
official_language,chat_template,answer_f1,0.15833333333333333,0.07222222222222223,0.24444444444444446,18
official_language,chat_template,answer_similarity,0.3373579110907745,0.2601354213697603,0.4056776928811274,18
official_language,declarative,full_exact_match,0.0,0.0,0.0,18
official_language,declarative,contains_expected,0.6666666666666666,0.4444444444444444,0.8888888888888888,18
official_language,declarative,answer_f1,0.17261904761904762,0.11505952380952379,0.23374999999999999,18
official_language,declarative,answer_similarity,0.3033977060568377,0.2638019125714004,0.3419844017484267,18
official_language,qa,full_exact_match,0.0,0.0,0.0,18
official_language,qa,contains_expected,0.7222222222222222,0.5,0.9444444444444444,18
official_language,qa,answer_f1,0.18373015873015872,0.12814484126984127,0.23412698412698407,18
official_language,qa,answer_similarity,0.28770735000716924,0.2591399755295592,0.3178091102208916,18
official_language,raw_question,full_exact_match,0.0,0.0,0.0,18
official_language,raw_question,contains_expected,0.5555555555555556,0.3333333333333333,0.7777777777777778,18
official_language,raw_question,answer_f1,0.13734567901234568,0.08329475308641975,0.19290123456790123,18
official_language,raw_question,answer_similarity,0.26448255664330234,0.22615603619698782,0.30602858797279664,18
