model_name,model_family,model_variant,split_eval,analysis_variant,position,num_facts,found_rate,invariance_depth_mean,mean_invariance_gap,peak_invariance_gap
qwen2_5_0_5b_base,qwen,base,holdout,length_matched_delta4,preanswer,20,0.3,21.0,-0.1749946530535411,0.0436256968456766
qwen2_5_0_5b_instruct,qwen,instruct,all,all_families,subject,90,1.0,0.4666666666666667,0.1172336852107425,0.9922790173535286
qwen2_5_0_5b_instruct,qwen,instruct,all,all_families,preanswer,90,1.0,20.73333333333333,-0.0762189848492573,0.2177190133826989
qwen2_5_0_5b_instruct,qwen,instruct,all,no_chat,subject,90,0.3222222222222222,0.0,0.0827554364298495,0.9873876854530476
qwen2_5_0_5b_instruct,qwen,instruct,all,no_chat,preanswer,90,0.9777777777777776,20.988636363636363,-0.1161788187401842,0.1514308460397657
qwen2_5_0_5b_instruct,qwen,instruct,all,length_matched_delta4,subject,90,0.3222222222222222,0.0,0.0731353630115363,0.9914741842839356
qwen2_5_0_5b_instruct,qwen,instruct,all,length_matched_delta4,preanswer,90,0.5222222222222223,21.02127659574468,-0.1655749970949946,0.1318035616462392
qwen2_5_0_5b_instruct,qwen,instruct,holdout,all_families,subject,20,1.0,0.0,0.1931424046969747,0.9974672633610074
qwen2_5_0_5b_instruct,qwen,instruct,holdout,all_families,preanswer,20,1.0,20.8,-0.0770519065052844,0.2196590453386306
qwen2_5_0_5b_instruct,qwen,instruct,holdout,no_chat,subject,20,1.0,0.0,0.1600643078544826,0.9922869742483642
qwen2_5_0_5b_instruct,qwen,instruct,holdout,no_chat,preanswer,20,0.9,21.0,-0.116983845885728,0.1504747823432639
qwen2_5_0_5b_instruct,qwen,instruct,holdout,length_matched_delta4,subject,20,1.0,0.45,0.1603621056961159,0.9966315633246268
qwen2_5_0_5b_instruct,qwen,instruct,holdout,length_matched_delta4,preanswer,20,0.4,21.0,-0.1674400438738549,0.127965421780296
smollm2_360m_base,smollm2,base,all,all_families,subject,90,1.0,0.0,0.1321873583760764,0.6638115330361853
smollm2_360m_base,smollm2,base,all,all_families,preanswer,90,0.9777777777777776,26.329545454545453,-0.0368746817392735,0.1834729998281188
smollm2_360m_base,smollm2,base,all,no_chat,subject,90,1.0,0.0,0.1150959767992341,0.6615919394820344
smollm2_360m_base,smollm2,base,all,no_chat,preanswer,90,0.9222222222222224,26.518072289156628,-0.0570277817681236,0.208762762593288
smollm2_360m_base,smollm2,base,all,length_matched_delta4,subject,90,0.6555555555555556,3.4915254237288136,0.0618614648775886,0.6626407631805965
smollm2_360m_base,smollm2,base,all,length_matched_delta4,preanswer,90,0.2,27.05555555555556,-0.1505190632914881,0.1196071672662396
smollm2_360m_base,smollm2,base,holdout,all_families,subject,20,1.0,0.0,0.1441504109107579,0.5903175566345453
smollm2_360m_base,smollm2,base,holdout,all_families,preanswer,20,0.95,26.42105263157895,-0.0382796212060687,0.1647177177170912
smollm2_360m_base,smollm2,base,holdout,no_chat,subject,20,1.0,0.0,0.1261816551408696,0.5900663269890679
smollm2_360m_base,smollm2,base,holdout,no_chat,preanswer,20,0.9,26.55555555555556,-0.0586186814363356,0.188924369988618
smollm2_360m_base,smollm2,base,holdout,length_matched_delta4,subject,20,1.0,0.6,0.0735324006550682,0.587560358501616
smollm2_360m_base,smollm2,base,holdout,length_matched_delta4,preanswer,20,0.2,27.0,-0.1506164932092371,0.09300003239983
smollm2_360m_instruct,smollm2,instruct,all,all_families,subject,90,1.0,0.0,0.1315509554165612,0.6459463724099538
smollm2_360m_instruct,smollm2,instruct,all,all_families,preanswer,90,0.2444444444444444,27.272727272727277,-0.0627980785387983,0.0460393577814102
smollm2_360m_instruct,smollm2,instruct,all,no_chat,subject,90,1.0,0.0,0.1126042146249907,0.6498880035736981
smollm2_360m_instruct,smollm2,instruct,all,no_chat,preanswer,90,0.0555555555555555,27.8,-0.088305126131663,0.0246441771391949
smollm2_360m_instruct,smollm2,instruct,all,length_matched_delta4,subject,90,0.6444444444444445,0.396551724137931,0.0411030502361509,0.6487821748777598
smollm2_360m_instruct,smollm2,instruct,all,length_matched_delta4,preanswer,90,0.0,-1.0,-0.1946158788188096,-0.062825840507817
smollm2_360m_instruct,smollm2,instruct,holdout,all_families,subject,20,1.0,0.0,0.1447408999413407,0.6041264403611422
smollm2_360m_instruct,smollm2,instruct,holdout,all_families,preanswer,20,0.2,27.0,-0.0635534182437368,0.0376113119224706
smollm2_360m_instruct,smollm2,instruct,holdout,no_chat,subject,20,1.0,0.0,0.12473118982571,0.6017080026644248
smollm2_360m_instruct,smollm2,instruct,holdout,no_chat,preanswer,20,0.05,27.0,-0.0891365998415966,0.028341946778474
smollm2_360m_instruct,smollm2,instruct,holdout,length_matched_delta4,subject,20,1.0,0.6,0.0554521601737732,0.5989052468822116
smollm2_360m_instruct,smollm2,instruct,holdout,length_matched_delta4,preanswer,20,0.0,-1.0,-0.1953018101291114,-0.0568737402558326
