model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
gemma_270m_it,currency,raw_question,invariant,currency:6,0.0,0.0,0.0,0.0,0.0,0.0,60,67
gemma_270m_it,currency,declarative,invariant,currency:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,6,7
gemma_270m_it,currency,qa,invariant,currency:6,0.5,0.0,0.5,1.0,0.0,1.0,4,4
gemma_270m_it,currency,chat_template,invariant,currency:6,0.4,0.6666666666666666,-0.2666666666666666,0.0,1.0,-1.0,79,114
gemma_270m_it,currency,raw_question,invariant,currency:7,0.4,0.4,0.0,0.0,0.0,0.0,31,33
gemma_270m_it,currency,declarative,invariant,currency:7,0.28571428571428575,0.22222222222222224,0.06349206349206352,0.0,0.0,0.0,12,20
gemma_270m_it,currency,qa,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,1,2
gemma_270m_it,currency,chat_template,invariant,currency:7,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,25,23
gemma_270m_it,headquarters,raw_question,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,1123,637
gemma_270m_it,headquarters,declarative,invariant,headquarters:6,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0,59,92
gemma_270m_it,headquarters,qa,invariant,headquarters:6,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,85,67
gemma_270m_it,headquarters,chat_template,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,3190,8089
gemma_270m_it,headquarters,raw_question,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,3502,3544
gemma_270m_it,headquarters,declarative,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,992,983
gemma_270m_it,headquarters,qa,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,644,699
gemma_270m_it,headquarters,chat_template,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,37420,41919
gemma_270m_it,birth_place,raw_question,invariant,birth_place:6,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,331,506
gemma_270m_it,birth_place,declarative,invariant,birth_place:6,0.33333333333333337,0.4,-0.06666666666666665,1.0,1.0,0.0,1,1
gemma_270m_it,birth_place,qa,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,86,349
gemma_270m_it,birth_place,chat_template,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,64,438
gemma_270m_it,birth_place,raw_question,invariant,birth_place:7,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,674,814
gemma_270m_it,birth_place,declarative,invariant,birth_place:7,0.4,0.0,0.4,1.0,0.0,1.0,2,3
gemma_270m_it,birth_place,qa,invariant,birth_place:7,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,34,54
gemma_270m_it,birth_place,chat_template,invariant,birth_place:7,0.0,0.6666666666666666,-0.6666666666666666,0.0,1.0,-1.0,15,131
gemma_270m_it,capital,raw_question,prompt_sensitive,capital:6,0.6666666666666666,1.0,-0.33333333333333337,1.0,1.0,0.0,15,10
gemma_270m_it,capital,declarative,prompt_sensitive,capital:6,0.4,1.0,-0.6,1.0,1.0,0.0,1,1
gemma_270m_it,capital,qa,prompt_sensitive,capital:6,0.4,0.4,0.0,1.0,1.0,0.0,1,1
gemma_270m_it,capital,chat_template,prompt_sensitive,capital:6,1.0,0.0,1.0,1.0,0.0,1.0,8,99
gemma_270m_it,capital,raw_question,prompt_sensitive,capital:7,0.4,0.0,0.4,1.0,0.0,1.0,26,21
gemma_270m_it,capital,declarative,prompt_sensitive,capital:7,0.25,0.25,0.0,1.0,1.0,0.0,1,1
gemma_270m_it,capital,qa,prompt_sensitive,capital:7,0.2222222222222222,0.33333333333333337,-0.11111111111111116,1.0,1.0,0.0,1,1
gemma_270m_it,capital,chat_template,prompt_sensitive,capital:7,1.0,0.0,1.0,1.0,0.0,1.0,1,2
gemma_270m_it,official_language,raw_question,prompt_sensitive,official_language:6,0.5,0.0,0.5,1.0,0.0,1.0,28,32
gemma_270m_it,official_language,declarative,prompt_sensitive,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,415,796
gemma_270m_it,official_language,qa,prompt_sensitive,official_language:6,0.0,0.19999999999999998,-0.19999999999999998,0.0,1.0,-1.0,4,6
gemma_270m_it,official_language,chat_template,prompt_sensitive,official_language:6,1.0,0.0,1.0,1.0,0.0,1.0,1263,22183
gemma_270m_it,official_language,raw_question,prompt_sensitive,official_language:7,0.4,0.0,0.4,1.0,0.0,1.0,25,25
gemma_270m_it,official_language,declarative,prompt_sensitive,official_language:7,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,696,1193
gemma_270m_it,official_language,qa,prompt_sensitive,official_language:7,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,2,4
gemma_270m_it,official_language,chat_template,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,2,100
gemma_270m_it,currency,raw_question,prompt_sensitive,currency:6,0.0,0.8,-0.8,0.0,1.0,-1.0,60,62
gemma_270m_it,currency,declarative,prompt_sensitive,currency:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,6,7
gemma_270m_it,currency,qa,prompt_sensitive,currency:6,0.5,0.6666666666666666,-0.16666666666666663,1.0,1.0,0.0,4,7
gemma_270m_it,currency,chat_template,prompt_sensitive,currency:6,0.4,0.0,0.4,0.0,0.0,0.0,79,8939
gemma_270m_it,currency,raw_question,prompt_sensitive,currency:7,0.4,0.0,0.4,0.0,0.0,0.0,31,20
gemma_270m_it,currency,declarative,prompt_sensitive,currency:7,0.28571428571428575,0.28571428571428575,0.0,0.0,0.0,0.0,12,10
gemma_270m_it,currency,qa,prompt_sensitive,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
gemma_270m_it,currency,chat_template,prompt_sensitive,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,25,6
gemma_270m_it,headquarters,raw_question,prompt_sensitive,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,1123,863
gemma_270m_it,headquarters,declarative,prompt_sensitive,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,59,58
gemma_270m_it,headquarters,qa,prompt_sensitive,headquarters:6,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,85,100
gemma_270m_it,headquarters,chat_template,prompt_sensitive,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,3190,9303
gemma_270m_it,headquarters,raw_question,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,3502,1359
gemma_270m_it,headquarters,declarative,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,992,926
gemma_270m_it,headquarters,qa,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,644,1974
gemma_270m_it,headquarters,chat_template,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,37420,176541
gemma_270m_it,birth_place,raw_question,prompt_sensitive,birth_place:6,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,331,262
gemma_270m_it,birth_place,declarative,prompt_sensitive,birth_place:6,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1
gemma_270m_it,birth_place,qa,prompt_sensitive,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,86,299
gemma_270m_it,birth_place,chat_template,prompt_sensitive,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,64,3202
gemma_270m_it,birth_place,raw_question,prompt_sensitive,birth_place:7,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,674,146
gemma_270m_it,birth_place,declarative,prompt_sensitive,birth_place:7,0.4,0.0,0.4,1.0,0.0,1.0,2,3
gemma_270m_it,birth_place,qa,prompt_sensitive,birth_place:7,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,34,9
gemma_270m_it,birth_place,chat_template,prompt_sensitive,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,15,2781
