candidate_type,prompt_family,answer_f1_drop,contains_drop,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase,model_name
prompt_sensitive,qa,0.1093253968253968,0.2,0.0474567099567099,0.0,-0.009090909090909,-0.0527777777777777,-0.0618686868686868,gemma_270m_it
prompt_sensitive,raw_question,0.1853968253968254,0.3,0.077063492063492,0.0,-0.0233333333333333,-0.085,-0.1083333333333333,gemma_270m_it
invariant,chat_template,0.0041666666666666,0.0,0.0575757575757575,0.0,0.0009090909090909,0.0525,0.0534090909090909,qwen2_5_0_5b_base
invariant,declarative,-0.0062626262626262,0.0,-0.0031313131313131,0.0,0.0,0.0031313131313131,0.0031313131313131,qwen2_5_0_5b_base
invariant,qa,-0.0577777777777777,0.0,0.0561111111111111,0.0,0.0166666666666666,0.0972222222222222,0.1138888888888888,qwen2_5_0_5b_base
invariant,raw_question,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qwen2_5_0_5b_base
prompt_sensitive,chat_template,-0.0372222222222222,0.0,-0.0213131313131313,0.0,-0.0007575757575757,0.0166666666666666,0.0159090909090909,qwen2_5_0_5b_base
prompt_sensitive,declarative,0.0242929292929292,0.05,0.0327092352092352,0.0,0.0081818181818181,0.0002344877344877,0.0084163059163059,qwen2_5_0_5b_base
prompt_sensitive,qa,0.0783333333333333,0.15,0.0763888888888888,0.0,0.0166666666666666,-0.0186111111111111,-0.0019444444444444,qwen2_5_0_5b_base
prompt_sensitive,raw_question,-0.0474567099567099,-0.05,-0.0957900432900432,0.0,0.0,-0.0483333333333333,-0.0483333333333333,qwen2_5_0_5b_base
invariant,chat_template,-0.025,0.0,-0.0416666666666666,0.0,0.0,-0.0166666666666666,-0.0166666666666666,qwen2_5_0_5b_instruct
invariant,declarative,0.0033333333333333,0.0,0.0033333333333333,0.0,0.0,0.0,0.0,qwen2_5_0_5b_instruct
invariant,qa,0.02,0.05,0.0325,0.0,0.0,0.0125,0.0125,qwen2_5_0_5b_instruct
invariant,raw_question,0.0116666666666666,0.05,0.0141666666666666,0.0,0.0,0.0024999999999999,0.0024999999999999,qwen2_5_0_5b_instruct
prompt_sensitive,chat_template,0.1761111111111111,0.15,0.1677777777777777,0.0,0.0083333333333333,-0.0166666666666666,-0.0083333333333333,qwen2_5_0_5b_instruct
prompt_sensitive,declarative,0.038538961038961,0.0,0.0362734487734487,0.0,0.0,-0.0022655122655122,-0.0022655122655122,qwen2_5_0_5b_instruct
prompt_sensitive,qa,0.0079365079365079,0.05,0.037507215007215,0.0,0.0,0.029570707070707,0.029570707070707,qwen2_5_0_5b_instruct
prompt_sensitive,raw_question,-0.0541666666666666,-0.15,-0.0230555555555555,0.0,0.0,0.0311111111111111,0.0311111111111111,qwen2_5_0_5b_instruct
invariant,chat_template,0.0456349206349206,0.05,0.0424603174603174,0.0,0.0,-0.0031746031746031,-0.0031746031746031,smollm2_360m_base
invariant,declarative,0.0279365079365079,0.05,0.0297222222222222,0.0,0.0,0.0017857142857142,0.0017857142857142,smollm2_360m_base
invariant,qa,-0.0178571428571428,0.05,-0.0496428571428571,0.0,-0.03,-0.0017857142857142,-0.0317857142857142,smollm2_360m_base
invariant,raw_question,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smollm2_360m_base
prompt_sensitive,chat_template,0.1494047619047618,0.2,0.1126623376623376,0.0,0.0,-0.0367424242424242,-0.0367424242424242,smollm2_360m_base
prompt_sensitive,declarative,0.034004329004329,0.0,0.0273376623376623,0.0,-0.0024999999999999,-0.0041666666666666,-0.0066666666666666,smollm2_360m_base
prompt_sensitive,qa,0.1206349206349206,0.25,0.0529304029304029,0.0,-0.05,-0.0177045177045177,-0.0677045177045177,smollm2_360m_base
prompt_sensitive,raw_question,-0.068095238095238,0.0,-0.0447619047619047,0.0,0.0,0.0233333333333333,0.0233333333333333,smollm2_360m_base
invariant,chat_template,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smollm2_360m_instruct
invariant,declarative,0.0132142857142857,0.0,0.0132142857142857,0.0,0.0,0.0,0.0,smollm2_360m_instruct
invariant,qa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smollm2_360m_instruct
invariant,raw_question,0.0,0.0,0.0,0.0,0.0,0.0,0.0,smollm2_360m_instruct
prompt_sensitive,chat_template,0.0580555555555555,0.1,0.0372222222222222,0.0,-0.025,0.0041666666666666,-0.0208333333333333,smollm2_360m_instruct
prompt_sensitive,declarative,0.0706818181818181,0.1,0.0623484848484848,0.0,-0.0226190476190476,-0.0107142857142857,-0.0083333333333333,smollm2_360m_instruct
prompt_sensitive,qa,-0.0503968253968254,-0.05,-0.0378968253968254,0.0,0.0,0.0125,0.0125,smollm2_360m_instruct
prompt_sensitive,raw_question,-0.1233333333333333,-0.1,-0.0366666666666666,0.0,0.0,0.0866666666666666,0.0866666666666666,smollm2_360m_instruct
