model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
smollm2_360m_instruct,official_language,chat_template,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,13,15
smollm2_360m_instruct,currency,raw_question,prompt_sensitive,currency:6,0.0,0.0,0.0,0.0,0.0,0.0,1362,1160
smollm2_360m_instruct,currency,declarative,prompt_sensitive,currency:6,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,4,13
smollm2_360m_instruct,currency,qa,prompt_sensitive,currency:6,0.0,0.4,-0.4,0.0,0.0,0.0,66,41
smollm2_360m_instruct,currency,chat_template,prompt_sensitive,currency:6,0.0,0.28571428571428575,-0.28571428571428575,0.0,0.0,0.0,135,385
smollm2_360m_instruct,currency,raw_question,prompt_sensitive,currency:7,0.0,0.8,-0.8,0.0,1.0,-1.0,2839,2559
smollm2_360m_instruct,currency,declarative,prompt_sensitive,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,2,2
smollm2_360m_instruct,currency,qa,prompt_sensitive,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,339,288
smollm2_360m_instruct,currency,chat_template,prompt_sensitive,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,120,135
smollm2_360m_instruct,headquarters,raw_question,prompt_sensitive,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,1594,1359
smollm2_360m_instruct,headquarters,declarative,prompt_sensitive,headquarters:6,0.8571428571428571,0.7499999999999999,0.1071428571428572,1.0,1.0,0.0,1,1
smollm2_360m_instruct,headquarters,qa,prompt_sensitive,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,455,398
smollm2_360m_instruct,headquarters,chat_template,prompt_sensitive,headquarters:6,0.5,0.5,0.0,1.0,1.0,0.0,4123,3769
smollm2_360m_instruct,headquarters,raw_question,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,4409,3587
smollm2_360m_instruct,headquarters,declarative,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1288,1290
smollm2_360m_instruct,headquarters,qa,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,3206,2610
smollm2_360m_instruct,headquarters,chat_template,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,16881,16170
smollm2_360m_instruct,birth_place,raw_question,prompt_sensitive,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,3025,2360
smollm2_360m_instruct,birth_place,declarative,prompt_sensitive,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,23,15
smollm2_360m_instruct,birth_place,qa,prompt_sensitive,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,1006,674
smollm2_360m_instruct,birth_place,chat_template,prompt_sensitive,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,3647,4243
smollm2_360m_instruct,birth_place,raw_question,prompt_sensitive,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,3696,5120
smollm2_360m_instruct,birth_place,declarative,prompt_sensitive,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,2,5
smollm2_360m_instruct,birth_place,qa,prompt_sensitive,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,6834,8050
smollm2_360m_instruct,birth_place,chat_template,prompt_sensitive,birth_place:7,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,582,456
